,Station Temp. (Encounter),SST (Encounter),Station Temp. (catch),SST (catch)
Subyearling Chinook,-0.69 pm 0.19,0.17 pm 0.26,0.08 pm 0.09,0.04 pm 0.1
Yearling Chinook,-0.11 pm 0.14,-0.67 pm 0.2,-0.12 pm 0.05,-0.22 pm 0.06
Yearling Coho,0.28 pm 0.15,-0.28 pm 0.22,0.07 pm 0.07,-0.1 pm 0.08
Sablefish,1.37 pm 0.39,1.23 pm 0.45,-0.11 pm 0.24,0.22 pm 0.23
