"","Station Temp. (Encounter)","SST (Encounter)","Station Temp. (catch)","SST (catch)"
"Subyearling Chinook","-0.65 pm 0.19","0.18 pm 0.26","0.08 pm 0.09","0.06 pm 0.1"
"Yearling Chinook","-0.09 pm 0.14","-0.65 pm 0.2","-0.13 pm 0.05","-0.21 pm 0.06"
"Yearling Coho","0.28 pm 0.16","-0.28 pm 0.22","0.07 pm 0.07","-0.11 pm 0.08"
"Sablefish","1.55 pm 0.58","1.36 pm 0.63","-0.14 pm 0.24","0.21 pm 0.23"
