year,month,sstarc
1919,7,-1.055544865
1919,8,-1.190555132
1919,9,-0.864877561
1919,10,-0.51898821
1919,11,-0.546416379
1919,12,-0.745942147
1920,1,-1.001019593
1920,2,-0.416090569
1920,3,-0.857180431
1920,4,-0.933521347
1920,5,-0.398949837
1920,6,-0.276787524
1920,7,-0.683321325
1920,8,-0.998523324
1920,9,-1.201398129
1920,10,-0.973511395
1920,11,-0.368379743
1920,12,-0.671920817
1921,1,-1.07745692
1921,2,-0.87663444
1921,3,-0.316980972
1921,4,-0.896010351
1921,5,-0.727298746
1921,6,-0.596809243
1921,7,-0.815139532
1921,8,-0.629601086
1921,9,-0.427600999
1921,10,-0.678309569
1921,11,-0.294160398
1921,12,-0.399019676
1922,1,-0.489675761
1922,2,-0.778616704
1922,3,-0.760798128
1922,4,-0.678337247
1922,5,-1.105406662
1922,6,-0.856736842
1922,7,-0.451348847
1922,8,-0.455682569
1922,9,-0.473409758
1922,10,-0.367910712
1922,11,-0.198473565
1922,12,-0.231855634
1923,1,-0.427776763
1923,2,-0.689503494
1923,3,-0.620849228
1923,4,-0.254040443
1923,5,-0.177258311
1923,6,-0.510333017
1923,7,-0.107994944
1923,8,-0.030415134
1923,9,-0.060582889
1923,10,-0.290375754
1923,11,-0.122703279
1923,12,-0.389296735
1924,1,-0.604483001
1924,2,-0.558114751
1924,3,-0.754862177
1924,4,-0.711670606
1924,5,-0.522140809
1924,6,-0.226514093
1924,7,-0.465236075
1924,8,-0.479692074
1924,9,-1.011802588
1924,10,-1.058640848
1924,11,-0.748579865
1924,12,-0.542678666
1925,1,-0.796109242
1925,2,-0.800304821
1925,3,-0.756955631
1925,4,-0.954024862
1925,5,-0.62261662
1925,6,-0.51855345
1925,7,-0.59347253
1925,8,-0.597895938
1925,9,-0.19499098
1925,10,0.203388148
1925,11,0.263727815
1925,12,-0.049176085
1926,1,0.308673202
1926,2,0.26297472
1926,3,0.314262659
1926,4,0.616075944
1926,5,0.57996154
1926,6,0.421797741
1926,7,0.353923161
1926,8,0.28195759
1926,9,0.419826876
1926,10,0.441898986
1926,11,0.967991983
1926,12,0.917474252
1927,1,0.422009746
1927,2,0.248815574
1927,3,-0.182937509
1927,4,-0.19825481
1927,5,-0.529043017
1927,6,-0.460738874
1927,7,-0.720167683
1927,8,-0.58853583
1927,9,-0.808060473
1927,10,-0.759521162
1927,11,-0.559524035
1927,12,-0.371743006
1928,1,-0.305440355
1928,2,-0.278078931
1928,3,-0.090564623
1928,4,-0.307160083
1928,5,-0.363320438
1928,6,-0.267541565
