"","sp","Year","lat","lon"
"1","CK_subyearling",1998,46.1302679381443,-124.164744845361
"2","CK_subyearling",1999,45.9559604705882,-124.187983823529
"3","CK_subyearling",2000,46.1590384677419,-124.209436290323
"4","CK_subyearling",2001,47.1948810204082,-124.420574285714
"5","CK_subyearling",2002,46.4401716170213,-124.325548297872
"6","CK_subyearling",2003,46.6798039766082,-124.330236647173
"7","CK_subyearling",2004,46.468584097561,-124.348566829268
"8","CK_subyearling",2005,46.0352231707317,-124.205578745645
"9","CK_subyearling",2006,46.7287312974684,-124.393648575949
"10","CK_subyearling",2007,46.6690376075269,-124.330205645161
"11","CK_subyearling",2008,46.4675345432099,-124.274348024691
"12","CK_subyearling",2009,46.6154546938776,-124.29085393586
"13","CK_subyearling",2010,46.8097605705706,-124.482861711712
"14","CK_subyearling",2011,46.4196238718663,-124.269607381616
"15","CK_subyearling",2012,46.4477432673267,-124.250611221122
"16","CK_subyearling",2013,47.2133365730337,-124.475711797753
"17","CK_subyearling",2014,46.5086430120482,-124.26013373494
"18","CK_subyearling",2015,46.211444109589,-124.140201369863
"19","CK_subyearling",2016,46.6013191942446,-124.292076978417
"20","CK_subyearling",2017,46.6318384444444,-124.273188888889
"21","CK_subyearling",2018,46.8593570552147,-124.343715337423
"22","CK_subyearling",2019,46.8763524409449,-124.299496456693
"23","CK_subyearling",2020,46.5059028045977,-124.189705517241
"24","CK_yearling",1998,45.8328075757576,-124.194345454545
"25","CK_yearling",1999,46.6232334030418,-124.554083460076
"26","CK_yearling",2000,46.655565648855,-124.525172900763
"27","CK_yearling",2001,46.7219022695036,-124.362390070922
"28","CK_yearling",2002,46.7145497193878,-124.415695408163
"29","CK_yearling",2003,46.8485304560261,-124.500635504886
"30","CK_yearling",2004,46.6073862371134,-124.478439175258
"31","CK_yearling",2005,47.1436341463415,-124.497441463415
"32","CK_yearling",2006,47.1623833423913,-124.574137228261
"33","CK_yearling",2007,46.9134257951482,-124.564711590296
"34","CK_yearling",2008,46.8836118086956,-124.618738521739
"35","CK_yearling",2009,46.9141597568389,-124.564889969605
"36","CK_yearling",2010,46.8354222401848,-124.521477598152
"37","CK_yearling",2011,46.5926644293478,-124.462842663043
"38","CK_yearling",2012,46.9191737155963,-124.500323394495
"39","CK_yearling",2013,47.6983361320755,-124.776578301887
"40","CK_yearling",2014,46.7380201360544,-124.370729251701
"41","CK_yearling",2015,46.9767168421053,-124.402815789474
"42","CK_yearling",2016,47.1377306060606,-124.463818181818
"43","CK_yearling",2017,47.10737625,-124.5388
"44","CK_yearling",2018,47.3912998823529,-124.593531764706
"45","CK_yearling",2019,47.0619907317073,-124.469224390244
"46","CK_yearling",2020,46.7949189705882,-124.312473529412
"47","Coho_yearling",1998,45.9534835294118,-124.304511764706
"48","Coho_yearling",1999,46.4705329698376,-124.335674941995
"49","Coho_yearling",2000,46.8305436343115,-124.587740180587
"50","Coho_yearling",2001,46.7975832686084,-124.477942718447
"51","Coho_yearling",2002,47.140776712963,-124.596443209877
"52","Coho_yearling",2003,46.8079518940937,-124.666509775967
"53","Coho_yearling",2004,46.4304839828694,-124.4525248394
"54","Coho_yearling",2005,47.3998875862069,-124.664024137931
"55","Coho_yearling",2006,46.8624461721854,-124.491494039735
"56","Coho_yearling",2007,46.7077303502919,-124.551309841535
"57","Coho_yearling",2008,47.1928817951426,-124.712768004224
"58","Coho_yearling",2009,46.8358409116279,-124.593007534884
"59","Coho_yearling",2010,46.78602272,-124.48553656
"60","Coho_yearling",2011,47.2218237536657,-124.715887096774
"61","Coho_yearling",2012,46.8660354584222,-124.466473987207
"62","Coho_yearling",2013,47.7245182234186,-124.840666487214
"63","Coho_yearling",2014,46.6942047232472,-124.510235055351
"64","Coho_yearling",2015,47.1436758029979,-124.44438137045
"65","Coho_yearling",2016,47.1963559482759,-124.597065948276
"66","Coho_yearling",2017,47.381291509434,-124.609581132075
"67","Coho_yearling",2018,47.6967751928783,-124.785203264095
"68","Coho_yearling",2019,46.8891528813559,-124.493765423729
"69","Coho_yearling",2020,47.3831924822695,-124.603280496454
"70","Sablefish_juv",1998,NA,NA
"71","Sablefish_juv",1999,46.013858,-124.52968
"72","Sablefish_juv",2000,45.7606914285714,-124.499657142857
"73","Sablefish_juv",2001,45.20661,-124.3526
"74","Sablefish_juv",2002,46.8556870588235,-124.600741176471
"75","Sablefish_juv",2003,46.0898339267016,-124.645680366492
"76","Sablefish_juv",2004,46.0699963112392,-124.539088760807
"77","Sablefish_juv",2005,46.7322106956522,-124.691472173913
"78","Sablefish_juv",2006,46.8102594557823,-124.874282312925
"79","Sablefish_juv",2007,46.1960519174041,-124.580314454277
"80","Sablefish_juv",2008,NA,NA
"81","Sablefish_juv",2009,46.7675108026756,-124.709350501672
"82","Sablefish_juv",2010,47.372568,-124.7105
"83","Sablefish_juv",2011,44.7509246323529,-124.755877205882
"84","Sablefish_juv",2012,46.8482044444444,-124.748788888889
"85","Sablefish_juv",2013,45.5686906714628,-124.248052038369
"86","Sablefish_juv",2014,44.68383,-124.4075
"87","Sablefish_juv",2015,NA,NA
"88","Sablefish_juv",2016,46.8132617829457,-124.584465891473
"89","Sablefish_juv",2017,47.9470268,-125.081148
"90","Sablefish_juv",2018,44.9023054545454,-124.462918181818
"91","Sablefish_juv",2019,NA,NA
"92","Sablefish_juv",2020,46.0086455221987,-124.492215940803
