"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1998","Stratum_1"," [count*km2/km2]",450567.235992459,62440.6263360786,0.140282048293671
"2","1998","Stratum_1"," [count*km2/km2]",289500.65001145,67069.3919284505,0.237576227711069
"3","1998","Stratum_1"," [count*km2/km2]",1234380.47820785,328832.243852494,0.27576493289326
"4","1998","Stratum_1"," [count*km2/km2]",3049759.1631036,1571551.136328,0.515382826146774
"1","1999","Stratum_1"," [count*km2/km2]",548697.284717715,70648.6037719169,0.130619814550371
"2","1999","Stratum_1"," [count*km2/km2]",567853.703461916,97231.0677555431,0.174086091754353
"3","1999","Stratum_1"," [count*km2/km2]",2058029.93473517,379520.508152389,0.187215443438066
"4","1999","Stratum_1"," [count*km2/km2]",1452034.11719477,890898.580769942,0.679241008705591
"1","2000","Stratum_1"," [count*km2/km2]",487681.706701185,60613.1842094373,0.126032922348846
"2","2000","Stratum_1"," [count*km2/km2]",512716.457252094,104138.277091032,0.208317337665312
"3","2000","Stratum_1"," [count*km2/km2]",2002489.7034691,453342.265041756,0.232456765945412
"4","2000","Stratum_1"," [count*km2/km2]",2346724.02042432,1283152.45590375,0.570298002860191
"1","2001","Stratum_1"," [count*km2/km2]",482049.136037704,61806.4888551577,0.12970559810908
"2","2001","Stratum_1"," [count*km2/km2]",410650.933073911,68900.6606742422,0.16961644701123
"3","2001","Stratum_1"," [count*km2/km2]",2150303.62658571,407212.875074787,0.192700983939715
"4","2001","Stratum_1"," [count*km2/km2]",4733376.5583383,1710756.02561322,0.359485203959748
"1","2002","Stratum_1"," [count*km2/km2]",578950.784715182,80587.7363237303,0.141057302327779
"2","2002","Stratum_1"," [count*km2/km2]",598924.865097031,92606.0981681575,0.157014560932611
"3","2002","Stratum_1"," [count*km2/km2]",2205178.15859713,383461.516687364,0.176298459854832
"4","2002","Stratum_1"," [count*km2/km2]",1295734.90755451,726349.515117758,0.620622363156488
"1","2003","Stratum_1"," [count*km2/km2]",487127.572873036,62293.310022787,0.129803017689652
"2","2003","Stratum_1"," [count*km2/km2]",534585.025145931,81882.2855707407,0.155387763722166
"3","2003","Stratum_1"," [count*km2/km2]",2043214.90890547,333485.376263812,0.165281320751353
"4","2003","Stratum_1"," [count*km2/km2]",2045650.49107394,872561.811032557,0.439895252192848
"1","2004","Stratum_1"," [count*km2/km2]",464106.336024714,83714.2457943969,0.182002687053323
"2","2004","Stratum_1"," [count*km2/km2]",179875.684077085,29639.1147841566,0.164697746991781
"3","2004","Stratum_1"," [count*km2/km2]",1011435.71423964,185017.96680606,0.185415535353117
"4","2004","Stratum_1"," [count*km2/km2]",5423845.39736501,2250478.08834993,0.40841033892249
"1","2005","Stratum_1"," [count*km2/km2]",462396.655963466,95758.8596187271,0.208738980922626
"2","2005","Stratum_1"," [count*km2/km2]",144038.52371074,31616.5853118016,0.220190833302024
"3","2005","Stratum_1"," [count*km2/km2]",884424.753905153,215407.807809587,0.2492002547042
"4","2005","Stratum_1"," [count*km2/km2]",5826964.85587147,2598103.87239773,0.439591644802604
"1","2006","Stratum_1"," [count*km2/km2]",471742.527577077,63477.301191392,0.135779010484129
"2","2006","Stratum_1"," [count*km2/km2]",270902.233828612,38500.9639424246,0.1422220110122
"3","2006","Stratum_1"," [count*km2/km2]",1361896.39136056,225486.189284137,0.167561660153505
"4","2006","Stratum_1"," [count*km2/km2]",4336101.81611072,1493415.13194121,0.342116109554378
"1","2007","Stratum_1"," [count*km2/km2]",540764.239774795,73607.0024386331,0.137739395415571
"2","2007","Stratum_1"," [count*km2/km2]",481867.599667536,73900.288190644,0.155233267111565
"3","2007","Stratum_1"," [count*km2/km2]",2379933.95875998,414573.502852047,0.176663086267956
"4","2007","Stratum_1"," [count*km2/km2]",3789921.20208467,1517011.23646986,0.403872317483786
"1","2008","Stratum_1"," [count*km2/km2]",615609.610074949,137530.413608027,0.226653085458221
"2","2008","Stratum_1"," [count*km2/km2]",1410228.60602643,233763.241553509,0.166812163886031
"3","2008","Stratum_1"," [count*km2/km2]",4423784.04908962,797487.2530066,0.181672709323082
"4","2008","Stratum_1"," [count*km2/km2]",308767.197562338,265956.990902439,1.2439202241997
