"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2009","Stratum_1"," [count*km2/km2]",485912.808302283,57859.9554044232,0.120445543545337
"2","2009","Stratum_1"," [count*km2/km2]",409044.666678951,64655.0615165773,0.160055804630416
"3","2009","Stratum_1"," [count*km2/km2]",1713828.46690577,296913.70193493,0.175709180614615
"4","2009","Stratum_1"," [count*km2/km2]",2771779.07490052,1286163.94711952,0.469366324460572
"1","2010","Stratum_1"," [count*km2/km2]",530676.296918932,72030.5126845974,0.137645842352155
"2","2010","Stratum_1"," [count*km2/km2]",585932.764800886,89976.1530587695,0.155525356479469
"3","2010","Stratum_1"," [count*km2/km2]",1947404.23683967,338849.038860584,0.176073230429324
"4","2010","Stratum_1"," [count*km2/km2]",1086631.39068324,634013.111478862,0.667885316505557
"1","2011","Stratum_1"," [count*km2/km2]",501927.231141284,66383.7732512747,0.133967559666724
"2","2011","Stratum_1"," [count*km2/km2]",405819.659029869,62361.6438855313,0.155687801821347
"3","2011","Stratum_1"," [count*km2/km2]",1509709.10692663,265636.623018303,0.178516698194431
"4","2011","Stratum_1"," [count*km2/km2]",2172948.59486827,918160.66946389,0.435181378412187
"1","2012","Stratum_1"," [count*km2/km2]",526647.593140872,65260.1804298005,0.125433047021944
"2","2012","Stratum_1"," [count*km2/km2]",462104.427686454,73860.4663343622,0.162134520077139
"3","2012","Stratum_1"," [count*km2/km2]",1970249.17276058,349467.331322126,0.17991557734035
"4","2012","Stratum_1"," [count*km2/km2]",2672292.47722429,1151618.77356105,0.442003956099607
"1","2013","Stratum_1"," [count*km2/km2]",604363.101909728,122662.679806925,0.204925977489394
"2","2013","Stratum_1"," [count*km2/km2]",467148.44111891,78054.9039685641,0.168311337389515
"3","2013","Stratum_1"," [count*km2/km2]",3309160.75339109,613964.682365764,0.188201410111632
"4","2013","Stratum_1"," [count*km2/km2]",7901693.87980558,3765392.03914898,0.470104966772386
"1","2014","Stratum_1"," [count*km2/km2]",512556.343448045,64696.7556933384,0.128071095328609
"2","2014","Stratum_1"," [count*km2/km2]",479141.623035225,74963.8468340748,0.159023191234182
"3","2014","Stratum_1"," [count*km2/km2]",1823080.85629556,322988.333566735,0.179824788358278
"4","2014","Stratum_1"," [count*km2/km2]",1973964.85732201,940086.471739043,0.498445031142342
"1","2015","Stratum_1"," [count*km2/km2]",449583.626740353,57210.0205127576,0.128804756870816
"2","2015","Stratum_1"," [count*km2/km2]",357524.909424508,63046.4154915231,0.179145172717739
"3","2015","Stratum_1"," [count*km2/km2]",1424473.81666748,260195.092054432,0.185759843986652
"4","2015","Stratum_1"," [count*km2/km2]",2743943.51724982,1271445.59981865,0.467681005203958
"1","2016","Stratum_1"," [count*km2/km2]",448469.822208352,64071.20700707,0.14410561136967
"2","2016","Stratum_1"," [count*km2/km2]",216130.637700737,39670.6643338079,0.184306532293545
"3","2016","Stratum_1"," [count*km2/km2]",1277665.80467858,251635.436880478,0.200315076968986
"4","2016","Stratum_1"," [count*km2/km2]",6016772.46487186,2023625.93037092,0.329504379545546
"1","2017","Stratum_1"," [count*km2/km2]",425640.188911999,109519.724511539,0.25961951860885
"2","2017","Stratum_1"," [count*km2/km2]",122636.370664479,29842.9116246387,0.244642745422549
"3","2017","Stratum_1"," [count*km2/km2]",607831.887576798,147321.75468075,0.247810770121106
"4","2017","Stratum_1"," [count*km2/km2]",4427802.42346867,2714988.27607319,0.602429917929838
"1","2018","Stratum_1"," [count*km2/km2]",527272.922236944,72074.8933997874,0.138231938261094
"2","2018","Stratum_1"," [count*km2/km2]",390051.854376992,62790.2963671569,0.162611419653194
"3","2018","Stratum_1"," [count*km2/km2]",2092754.38133765,355093.285981968,0.172115798478072
"4","2018","Stratum_1"," [count*km2/km2]",4741304.76351261,1735284.52043058,0.364931095431331
"1","2019","Stratum_1"," [count*km2/km2]",456071.954475529,53924.634257402,0.119608622905244
"2","2019","Stratum_1"," [count*km2/km2]",394681.224835079,64818.1438152711,0.166295193116229
"3","2019","Stratum_1"," [count*km2/km2]",1690431.9960257,302404.531282091,0.181746860461852
"4","2019","Stratum_1"," [count*km2/km2]",3266569.70595139,1326487.45341065,0.407811919933889
"1","2020","Stratum_1"," [count*km2/km2]",447499.329793396,95421.5262634361,0.21397397475033
"2","2020","Stratum_1"," [count*km2/km2]",109740.265769285,32129.9565439886,0.287281306390157
"3","2020","Stratum_1"," [count*km2/km2]",1438908.47868858,387400.063763123,0.27426442464618
"4","2020","Stratum_1"," [count*km2/km2]",12330453.8099642,3354180.60448031,0.270648230165323
"1","2021","Stratum_1"," [count*km2/km2]",488302.445514579,69006.2383966344,0.142695616453667
"2","2021","Stratum_1"," [count*km2/km2]",277150.898060653,49052.1664639505,0.177646802890791
"3","2021","Stratum_1"," [count*km2/km2]",1766180.59661003,371947.072201748,0.214356082383085
"4","2021","Stratum_1"," [count*km2/km2]",7192539.66800308,2370407.83811868,0.324505781288718
"1","2022","Stratum_1"," [count*km2/km2]",539814.010415606,71325.162677635,0.133913235159088
"2","2022","Stratum_1"," [count*km2/km2]",551636.14107265,93287.4267797722,0.171670539978271
"3","2022","Stratum_1"," [count*km2/km2]",2074940.33793485,362639.034171627,0.177115211914613
"4","2022","Stratum_1"," [count*km2/km2]",1639917.34493674,897986.660058913,0.601213619223739
"1","2023","Stratum_1"," [count*km2/km2]",452087.432687916,70216.2580580846,0.156786158742563
"2","2023","Stratum_1"," [count*km2/km2]",364337.004027195,60629.891132052,0.167008896116849
"3","2023","Stratum_1"," [count*km2/km2]",2399946.51831009,439949.664315216,0.186089315005537
"4","2023","Stratum_1"," [count*km2/km2]",7835013.06861337,2991846.08458028,0.37454872090915
